{'model': 'jrr', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 0.9947387310222118, 'result_error_out_all': 0.9992323486745183, 'result_error_in_mask': 0.9947387310222118, 'result_error_out_mask': 0.9992323486745183, 'result_false_positives': 0.0, 'result_false_negatives': 0.2}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.9988158670857705, 'result_error_out_all': 1.0111124370475806, 'result_error_in_mask': 0.9988158670857707, 'result_error_out_mask': 1.0111124370475806, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 0.9959929114965606, 'result_error_out_all': 0.9978808349558379, 'result_error_in_mask': 0.9959929114965606, 'result_error_out_mask': 0.9978808349558379, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.9991786247042609, 'result_error_out_all': 0.9995861334866336, 'result_error_in_mask': 0.9991786247042609, 'result_error_out_mask': 0.9995861334866336, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 100, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 0.9997225815440525, 'result_error_out_all': 0.999996854272142, 'result_error_in_mask': 0.9998087786373067, 'result_error_out_mask': 1.0000008380059007, 'result_false_positives': 0.41, 'result_false_negatives': 0.04}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9990249646786771, 'result_error_out_all': 0.9999577464107132, 'result_error_in_mask': 0.9990410923522313, 'result_error_out_mask': 1.0000042093770238, 'result_false_positives': 0.22, 'result_false_negatives': 0.06}
{'model': 'ols', 'n_samples': 100, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 0.9997406340346758, 'result_error_out_all': 0.9999921707376527, 'result_error_in_mask': 0.9998625328931443, 'result_error_out_mask': 0.9999930190176846, 'result_false_positives': 0.29, 'result_false_negatives': 0.04}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9994812001148066, 'result_error_out_all': 0.9999822789405963, 'result_error_in_mask': 0.9995284740242997, 'result_error_out_mask': 1.000039787637301, 'result_false_positives': 0.22, 'result_false_negatives': 0.05}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 1.000086697353319, 'result_error_out_all': 1.0000100780798604, 'result_error_in_mask': 1.0000443460149895, 'result_error_out_mask': 1.0000113699405415, 'result_false_positives': 0.19, 'result_false_negatives': 0.05}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.9939771085996192, 'result_error_out_all': 0.9985274928662516, 'result_error_in_mask': 0.9939771085996192, 'result_error_out_mask': 0.9985274928662516, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 0.9996740154509078, 'result_error_out_all': 0.9999879756781539, 'result_error_in_mask': 0.9997156034252149, 'result_error_out_mask': 1.0000684321270168, 'result_false_positives': 0.14, 'result_false_negatives': 0.1}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 0.9998765047919017, 'result_error_out_all': 0.9999922452317461, 'result_error_in_mask': 0.9999004377591402, 'result_error_out_mask': 0.9999968147035975, 'result_false_positives': 0.26, 'result_false_negatives': 0.03}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 0.9993541552076617, 'result_error_out_all': 0.9999833350612223, 'result_error_in_mask': 0.999140653637233, 'result_error_out_mask': 1.0000035912646192, 'result_false_positives': 0.26, 'result_false_negatives': 0.08}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.9994573753119348, 'result_error_out_all': 1.0000198027751372, 'result_error_in_mask': 0.9994573753119348, 'result_error_out_mask': 1.0000198027751375, 'result_false_positives': 0.26, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.9997099312293292, 'result_error_out_all': 0.99998056106767, 'result_error_in_mask': 0.9997099312293292, 'result_error_out_mask': 0.99998056106767, 'result_false_positives': 0.21, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 1.0000009977935311, 'result_error_out_all': 1.0000013700224717, 'result_error_in_mask': 1.0000009977935311, 'result_error_out_mask': 1.0000013700224717, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9995515315374569, 'result_error_out_all': 0.999961358789972, 'result_error_in_mask': 0.9997602883122884, 'result_error_out_mask': 1.0001113698299666, 'result_false_positives': 0.18, 'result_false_negatives': 0.08}
{'model': 'ols', 'n_samples': 100, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 1.0001636156362528, 'result_error_out_all': 1.000022284494513, 'result_error_in_mask': 1.0003217042546544, 'result_error_out_mask': 0.9999903531664801, 'result_false_positives': 0.48, 'result_false_negatives': 0.1}
{'model': 'jrr', 'n_samples': 1000, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9996484151004316, 'result_error_out_all': 0.9999820483029366, 'result_error_in_mask': 0.9996484151004316, 'result_error_out_mask': 0.9999820483029366, 'result_false_positives': 0.44, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 0.9943101136554182, 'result_error_out_all': 0.9991301064613344, 'result_error_in_mask': 0.9951192708445445, 'result_error_out_mask': 1.0019026012679788, 'result_false_positives': 0.0, 'result_false_negatives': 0.4}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9961183349481154, 'result_error_out_all': 0.9962970103449079, 'result_error_in_mask': 0.996118334948115, 'result_error_out_mask': 0.9962970103449079, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 0.9987236811597584, 'result_error_out_all': 1.0010692783334008, 'result_error_in_mask': 0.9987236811597584, 'result_error_out_mask': 1.0010692783334008, 'result_false_positives': 0.0, 'result_false_negatives': 0.1}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9999978051839679, 'result_error_out_all': 1.0000024978652637, 'result_error_in_mask': 0.9999978051839679, 'result_error_out_mask': 1.0000024978652637, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 100, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 0.9973056011128292, 'result_error_out_all': 0.9995656103407325, 'result_error_in_mask': 0.995961375156537, 'result_error_out_mask': 0.9993763466992646, 'result_false_positives': 0.2, 'result_false_negatives': 0.2}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 0.9992688071372885, 'result_error_out_all': 0.999649426278689, 'result_error_in_mask': 0.9992688071372885, 'result_error_out_mask': 0.9996494262786892, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 0.9945223215576473, 'result_error_out_all': 1.0003873034601314, 'result_error_in_mask': 0.9945223215576473, 'result_error_out_mask': 1.0003873034601314, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 0.9966856420747914, 'result_error_out_all': 0.9981840247335662, 'result_error_in_mask': 0.9966856420747914, 'result_error_out_mask': 0.9981840247335662, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 0.9981740118210563, 'result_error_out_all': 1.000927144480935, 'result_error_in_mask': 0.9989549987652516, 'result_error_out_mask': 1.0057602490384414, 'result_false_positives': 0.1, 'result_false_negatives': 0.2}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.9999851821405172, 'result_error_out_all': 0.9999934289533199, 'result_error_in_mask': 0.9999851821405172, 'result_error_out_mask': 0.9999934289533199, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 0.999334207290229, 'result_error_out_all': 0.9999581989320432, 'result_error_in_mask': 0.9999388841257062, 'result_error_out_mask': 1.002708157333778, 'result_false_positives': 0.08, 'result_false_negatives': 0.1}
{'model': 'ols', 'n_samples': 100, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 0.9999240476151889, 'result_error_out_all': 0.9999887926210934, 'result_error_in_mask': 0.9999565520518213, 'result_error_out_mask': 0.9999967115260198, 'result_false_positives': 0.28, 'result_false_negatives': 0.06}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.9994975248669333, 'result_error_out_all': 0.9999767014472793, 'result_error_in_mask': 0.999597391201068, 'result_error_out_mask': 1.0000688089835381, 'result_false_positives': 0.14, 'result_false_negatives': 0.08}
{'model': 'jrr', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.996168799857625, 'result_error_out_all': 0.9989517537545235, 'result_error_in_mask': 0.996168799857625, 'result_error_out_mask': 0.9989517537545235, 'result_false_positives': 0.1, 'result_false_negatives': 0.1}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 1.0030494863310648, 'result_error_out_all': 1.000195528860525, 'result_error_in_mask': 1.0030494863310648, 'result_error_out_mask': 1.000195528860525, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 0.9957870836693538, 'result_error_out_all': 0.9997748836828678, 'result_error_in_mask': 0.9957870836693538, 'result_error_out_mask': 0.9997748836828678, 'result_false_positives': 0.0, 'result_false_negatives': 0.3}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 0.9999751197683356, 'result_error_out_all': 0.9999975019035128, 'result_error_in_mask': 0.9999751197683356, 'result_error_out_mask': 0.9999975019035128, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 0.9998169365870732, 'result_error_out_all': 0.9999101929772631, 'result_error_in_mask': 0.9998169365870732, 'result_error_out_mask': 0.9999101929772631, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 1.0048543988846466, 'result_error_out_all': 1.0001487991245515, 'result_error_in_mask': 1.0048543988846466, 'result_error_out_mask': 1.0001487991245515, 'result_false_positives': 0.42, 'result_false_negatives': 0.02}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.9973576823578225, 'result_error_out_all': 0.9995857462235902, 'result_error_in_mask': 0.9970810159893355, 'result_error_out_mask': 0.9996384696201754, 'result_false_positives': 0.1, 'result_false_negatives': 0.3}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9997885475959487, 'result_error_out_all': 0.9999874635620263, 'result_error_in_mask': 0.9997885475959487, 'result_error_out_mask': 0.9999874635620263, 'result_false_positives': 0.3, 'result_false_negatives': 0.04}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9996923135368798, 'result_error_out_all': 0.9999966532334016, 'result_error_in_mask': 0.99979975618797, 'result_error_out_mask': 0.9999914617936797, 'result_false_positives': 0.36, 'result_false_negatives': 0.02}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 0.9966273814084319, 'result_error_out_all': 0.9979583708232452, 'result_error_in_mask': 0.9966273814084319, 'result_error_out_mask': 0.9979583708232452, 'result_false_positives': 0.0, 'result_false_negatives': 0.1}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 0.9991068408897285, 'result_error_out_all': 0.9995415193506315, 'result_error_in_mask': 0.9991068408897285, 'result_error_out_mask': 0.9995415193506315, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.9999592565118041, 'result_error_out_all': 0.9999940725981715, 'result_error_in_mask': 0.9999592565118041, 'result_error_out_mask': 0.9999940725981715, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 1.0000318054821782, 'result_error_out_all': 1.0027574148287348, 'result_error_in_mask': 1.0000318054821782, 'result_error_out_mask': 1.0027574148287348, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 100, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 0.9990421088457744, 'result_error_out_all': 0.9999038167837602, 'result_error_in_mask': 0.998058487001773, 'result_error_out_mask': 1.0005594554903965, 'result_false_positives': 0.1, 'result_false_negatives': 0.2}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 1.0005565864911978, 'result_error_out_all': 1.0128559064271212, 'result_error_in_mask': 1.0007870529140521, 'result_error_out_mask': 1.035694507536069, 'result_false_positives': 0.1, 'result_false_negatives': 0.08}
{'model': 'ols', 'n_samples': 100, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 1.0000031824627478, 'result_error_out_all': 0.9999974398086308, 'result_error_in_mask': 1.0000028158377483, 'result_error_out_mask': 1.0000029816065281, 'result_false_positives': 0.08, 'result_false_negatives': 0.06}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.9999634319308842, 'result_error_out_all': 0.9999892991406549, 'result_error_in_mask': 0.9999634319308842, 'result_error_out_mask': 0.9999892991406549, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 1.0000404860267333, 'result_error_out_all': 0.9999938114511301, 'result_error_in_mask': 1.0000404860267333, 'result_error_out_mask': 0.9999938114511301, 'result_false_positives': 0.28, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 100, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.999924897764397, 'result_error_out_all': 0.9999946817272639, 'result_error_in_mask': 0.99760340689925, 'result_error_out_mask': 1.0001865048789382, 'result_false_positives': 0.1, 'result_false_negatives': 0.3}
{'model': 'ols', 'n_samples': 100, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 1.0000381740054285, 'result_error_out_all': 0.9999993318557104, 'result_error_in_mask': 1.0073601704779898, 'result_error_out_mask': 1.0007016633671117, 'result_false_positives': 0.44, 'result_false_negatives': 0.06}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 0.9989103203216019, 'result_error_out_all': 0.9995591898334923, 'result_error_in_mask': 0.9989103203216019, 'result_error_out_mask': 0.9995591898334923, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9996732471423089, 'result_error_out_all': 1.0000114936913538, 'result_error_in_mask': 0.9996732471423084, 'result_error_out_mask': 1.0000114936913538, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9997297325482578, 'result_error_out_all': 0.9999461455382306, 'result_error_in_mask': 0.9997297325482578, 'result_error_out_mask': 0.9999461455382306, 'result_false_positives': 0.04, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 1.0579899861830246, 'result_error_out_all': 1.270790047403745, 'result_error_in_mask': 1.057989986183024, 'result_error_out_mask': 1.270790047403744, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 1.0004326602978366, 'result_error_out_all': 1.0004805354141844, 'result_error_in_mask': 1.0004326602978366, 'result_error_out_mask': 1.0004805354141844, 'result_false_positives': 0.33, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 3, 'result_error_in_all': 0.9968482753942189, 'result_error_out_all': 0.997114984690498, 'result_error_in_mask': 0.9968482753942189, 'result_error_out_mask': 0.997114984690498, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 0.9967498835796028, 'result_error_out_all': 0.9987365245495253, 'result_error_in_mask': 0.9967498835796028, 'result_error_out_mask': 0.998736524549525, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 1.0008026313809555, 'result_error_out_all': 1.0000064113580125, 'result_error_in_mask': 1.002236781451254, 'result_error_out_mask': 1.0000644737057067, 'result_false_positives': 0.33, 'result_false_negatives': 0.04}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 0.9999884836996764, 'result_error_out_all': 0.999998894765042, 'result_error_in_mask': 0.9999884836996764, 'result_error_out_mask': 0.999998894765042, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9964271022714257, 'result_error_out_all': 0.9970965198098294, 'result_error_in_mask': 0.9964271022714261, 'result_error_out_mask': 0.9970965198098294, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9999869216962674, 'result_error_out_all': 0.9999999378516677, 'result_error_in_mask': 0.9999869216962674, 'result_error_out_mask': 0.9999999378516677, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9999829109539119, 'result_error_out_all': 0.9999941609795584, 'result_error_in_mask': 0.9999829109539119, 'result_error_out_mask': 0.9999941609795584, 'result_false_positives': 0.66, 'result_false_negatives': 0.02}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9991353882690057, 'result_error_out_all': 1.0000127488885016, 'result_error_in_mask': 0.9991353882690057, 'result_error_out_mask': 1.0000127488885016, 'result_false_positives': 0.2, 'result_false_negatives': 0.1}
